baronKills,dragonKills,firstBaron,firstBlood,firstDragon,firstInhibitor,firstTower,inhibitorKills,towerKills,winner
0,2,F,T,F,F,T,0,5,0
1,3,F,F,T,T,F,1,8,1
0,0,F,F,F,F,F,0,0,0
0,1,F,T,T,T,T,1,5,1
0,1,F,F,T,F,F,0,5,0
1,2,F,T,F,T,T,2,9,1
1,3,F,F,T,T,F,2,9,1
0,1,F,T,F,F,T,0,3,0
1,1,F,F,F,T,T,4,11,1
0,1,F,T,T,F,F,0,0,0
0,1,F,T,T,F,T,0,7,1
0,0,F,F,F,F,F,0,1,0
1,2,F,T,T,F,T,0,4,1
0,0,F,F,F,F,F,0,2,0
1,0,F,F,F,F,F,0,2,0
1,4,F,T,T,F,T,0,5,1
1,2,F,F,T,F,F,0,4,1
0,0,F,T,F,F,T,0,2,0
1,3,F,T,T,T,T,1,8,1
0,0,F,F,F,F,F,0,4,0
0,0,F,F,F,F,T,0,1,0
1,2,F,T,T,T,F,1,9,1
0,0,F,F,F,F,F,0,0,0
0,0,F,T,F,T,T,1,8,1
0,1,F,T,F,F,T,0,3,0
1,3,F,F,T,T,F,1,9,1
1,0,F,T,F,T,T,2,8,1
0,1,F,F,T,F,F,0,4,0
0,0,F,F,F,F,F,0,0,0
0,0,F,T,F,T,T,1,5,1
0,1,F,F,F,F,F,0,3,0
1,1,F,T,T,T,T,1,6,1
0,0,F,T,F,F,T,0,3,0
1,2,F,F,T,T,F,2,10,1
0,0,F,F,F,F,T,0,2,0
0,1,F,T,T,F,F,0,3,1
0,2,F,F,F,T,T,1,7,0
2,2,F,T,T,F,F,1,7,1
0,0,F,F,F,F,F,0,4,0
1,5,F,T,T,T,T,1,7,1
1,1,F,T,F,T,T,1,7,1
0,1,F,F,T,F,F,0,2,0
0,1,F,F,F,F,T,0,4,1
0,1,F,T,T,F,F,0,1,0
0,2,F,F,T,F,F,0,3,1
0,0,F,T,F,F,T,0,1,0
1,2,F,F,T,T,T,1,7,1
0,0,F,T,F,F,F,0,1,0
0,0,F,T,F,F,F,0,4,0
1,2,F,F,T,T,T,1,5,1
1,2,F,T,F,F,T,0,6,0
1,2,F,F,T,T,F,1,7,1
0,1,F,T,T,F,T,0,3,0
1,2,F,F,F,T,F,1,6,1
1,0,F,T,F,T,T,2,7,1
0,2,F,F,T,F,F,0,2,0
0,0,F,F,F,F,F,0,1,0
1,2,F,T,T,F,T,0,2,1
1,4,F,F,T,T,T,1,7,1
0,0,F,T,F,F,F,0,3,0
1,1,F,F,T,F,T,0,7,1
0,0,F,T,F,F,F,0,1,0
1,4,F,T,F,T,T,1,7,1
2,1,F,F,T,F,F,0,2,0
0,1,F,F,T,F,F,0,1,0
1,1,F,T,F,T,T,1,10,1
0,0,F,F,F,F,F,0,1,0
1,3,F,T,T,T,T,2,8,1
0,0,F,F,F,F,F,0,1,0
0,2,F,T,T,T,T,1,6,1
1,0,F,F,F,F,T,0,4,0
1,4,F,T,T,T,F,3,10,1
0,0,F,T,F,T,F,1,5,0
3,5,F,F,T,F,T,3,11,1
1,1,F,F,F,F,F,0,2,0
1,3,F,T,T,T,T,3,11,1
0,1,F,F,T,F,F,0,0,0
1,0,F,T,F,F,T,0,5,1
0,0,F,T,F,F,T,0,3,0
2,3,F,F,T,T,F,1,9,1
1,3,F,T,T,T,T,1,7,1
0,0,F,F,F,F,F,0,2,0
0,0,F,T,F,F,F,0,0,0
0,2,F,F,T,F,T,0,3,1
0,1,F,T,F,F,F,0,1,0
2,4,F,F,T,T,T,1,9,1
0,2,F,F,T,F,T,0,5,0
2,3,F,T,F,T,F,1,9,1
1,1,F,T,T,F,F,0,3,0
1,2,F,F,F,T,T,1,8,1
0,0,F,T,F,F,T,0,3,0
1,2,F,F,T,T,F,3,11,1
0,0,F,F,F,F,F,0,0,0
0,1,F,T,T,T,T,1,7,1
1,1,F,T,T,F,F,0,3,0
1,4,F,F,F,T,T,2,9,1
0,1,F,T,F,F,F,0,0,0
0,1,F,F,T,T,T,1,9,1
0,0,F,F,F,F,F,0,0,0
0,0,F,T,F,T,T,1,7,1
0,0,F,F,F,F,F,0,2,0
0,1,F,T,T,F,T,0,4,1
0,0,F,F,F,F,F,0,0,0
1,1,F,T,T,F,T,0,5,1
0,1,F,F,T,F,F,0,3,0
1,2,F,T,F,T,T,1,7,1
1,3,F,T,T,T,T,1,7,1
0,0,F,F,F,F,F,0,3,0
0,3,F,T,F,T,T,2,8,1
2,1,F,F,T,F,F,0,6,0
1,3,F,T,F,F,F,0,5,0
1,1,F,F,T,T,T,1,8,1
0,0,F,T,F,F,F,0,1,0
0,1,F,F,T,F,T,0,4,1
0,1,F,F,F,F,F,0,6,1
0,1,F,T,T,F,T,0,1,0
1,2,F,F,F,F,T,0,5,0
1,3,F,T,T,T,F,1,8,1
0,1,F,F,F,F,T,0,3,0
2,3,F,T,T,T,F,1,10,1
1,0,F,T,F,F,T,2,7,1
1,3,F,F,T,T,F,1,6,0
0,0,F,T,F,T,T,1,5,1
0,0,F,F,F,F,F,0,0,0
1,1,F,T,T,T,T,2,9,1
0,0,F,F,F,F,F,0,2,0
0,1,F,T,F,F,F,0,3,0
1,2,F,F,T,F,T,0,7,1
1,2,F,T,T,F,F,0,3,1
0,0,F,F,F,F,T,0,2,0
0,1,F,T,T,F,F,0,2,0
1,2,F,F,F,T,T,1,6,1
0,1,F,T,T,F,T,0,2,0
0,1,F,F,F,F,F,0,4,1
1,1,F,T,F,F,F,1,5,0
0,3,F,F,T,T,T,1,7,1
0,0,F,F,F,F,T,0,1,0
0,1,F,T,T,F,F,0,2,1
0,0,F,F,F,F,T,0,4,0
1,4,F,T,T,T,F,1,7,1
0,0,F,T,F,T,T,2,11,1
0,0,F,F,F,F,F,0,0,0
0,0,F,F,F,F,F,0,3,0
1,2,F,T,T,T,T,1,9,1
0,5,F,F,T,T,T,5,10,0
3,1,F,T,F,F,F,2,10,1
0,0,F,F,F,F,T,0,5,1
0,0,F,T,F,F,F,0,0,0
0,1,F,T,T,F,F,0,2,0
1,2,F,F,F,T,T,1,4,1
0,2,F,T,T,F,T,0,3,0
1,2,F,F,F,T,F,1,7,1
0,2,F,F,T,T,T,1,6,1
0,0,F,T,F,F,F,0,0,0
0,1,F,F,T,F,T,0,4,1
0,1,F,T,F,F,F,0,1,0
1,3,F,T,T,F,F,0,5,1
0,0,F,F,F,F,T,0,3,0
0,2,F,F,T,T,T,1,6,1
0,0,F,T,F,F,F,0,0,0
0,1,F,T,T,T,T,1,9,1
0,0,F,F,F,F,F,0,1,0
3,1,F,T,F,T,F,2,8,1
0,3,F,F,T,F,T,0,6,0
1,0,F,T,F,F,T,0,4,0
0,4,F,F,T,T,F,3,9,1
1,2,F,T,F,T,T,2,10,1
0,2,F,F,T,F,F,0,3,0
0,4,F,T,T,T,T,2,7,1
0,0,F,F,F,F,F,0,0,0
2,1,F,T,F,F,T,1,9,1
1,4,F,F,T,T,F,2,6,0
0,1,F,F,T,F,F,0,3,0
1,2,F,T,F,T,T,2,10,1
0,0,F,F,F,F,F,0,1,0
1,4,F,T,T,T,T,2,11,1
1,3,F,T,T,T,T,2,8,1
0,0,F,F,F,F,F,0,3,0
0,2,F,F,T,T,T,1,6,1
0,0,F,T,F,F,F,0,2,0
1,2,F,T,T,T,T,1,6,1
0,0,F,F,F,F,F,0,2,0
1,2,F,F,T,F,T,1,9,1
1,3,F,T,F,T,F,1,5,0
0,0,F,F,F,F,F,0,1,0
0,3,F,T,T,T,T,1,7,1
0,0,F,F,F,F,F,0,3,0
0,2,F,T,T,F,T,0,1,1
0,2,F,T,T,T,T,1,5,1
0,0,F,F,F,F,F,0,1,0
1,2,F,T,T,T,T,3,11,1
0,0,F,F,F,F,F,0,3,0
0,1,F,F,T,F,F,0,2,0
1,2,F,T,F,T,T,1,7,1
1,2,F,T,F,F,T,0,5,1
0,1,F,F,T,F,F,0,3,0
1,2,F,F,F,T,T,3,11,1
0,1,F,T,T,F,F,0,2,0
0,0,F,F,F,F,T,0,3,0
0,2,F,T,T,F,F,0,3,1
0,0,F,T,F,F,T,0,2,0
1,2,F,F,T,F,F,0,4,1
1,3,F,T,F,T,T,1,7,1
0,1,F,F,T,F,F,0,1,0
0,0,F,F,F,F,T,0,2,0
0,2,F,T,T,F,F,0,3,1
0,1,F,F,T,F,F,0,3,0
1,2,F,T,F,T,T,2,11,1
0,1,F,F,T,F,T,0,4,1
0,0,F,T,F,F,F,0,3,0
0,0,F,F,F,F,F,0,1,0
1,2,F,T,T,T,T,1,6,1
0,0,F,F,F,F,F,0,1,0
0,1,F,T,T,F,T,0,3,1
0,0,F,F,F,F,F,0,2,0
1,2,F,T,T,T,T,1,7,1
1,1,F,T,T,F,T,0,4,1
0,0,F,F,F,F,F,0,1,0
0,0,F,F,F,F,F,0,1,0
0,2,F,T,T,F,T,0,6,1
1,2,F,T,T,T,T,1,6,1
0,0,F,F,F,F,F,0,0,0
0,0,F,T,F,F,F,0,1,0
1,3,F,F,T,F,T,0,6,1
1,4,F,T,F,F,F,0,6,1
0,1,F,F,T,F,T,0,4,0
0,1,F,F,T,F,F,0,0,0
0,0,F,T,F,F,T,0,6,1
0,1,F,T,T,T,T,1,8,1
0,0,F,F,F,F,F,0,0,0
1,3,F,T,T,T,T,1,8,1
0,0,F,F,F,F,F,0,3,0
1,3,F,F,T,T,T,1,5,1
0,0,F,T,F,F,F,0,2,0
0,0,F,F,F,F,F,0,1,0
0,2,F,T,T,F,T,0,3,1
0,1,F,T,F,F,F,0,2,0
0,2,F,F,T,T,T,1,9,1
0,2,F,F,F,F,T,0,5,0
1,1,F,T,T,T,F,1,6,1
0,1,F,F,F,F,F,0,1,0
1,2,F,T,T,T,T,1,8,1
0,3,F,F,T,F,T,0,6,0
2,1,F,T,F,T,F,1,8,1
0,0,F,F,F,F,F,0,0,0
0,2,F,T,T,F,T,0,5,1
1,1,F,T,F,F,T,0,4,0
1,3,F,F,T,T,F,3,11,1
1,4,F,T,T,F,T,2,10,0
2,3,F,F,F,T,F,3,8,1
0,0,F,F,F,F,F,0,1,0
0,2,F,T,T,F,T,0,3,1
1,1,F,F,F,T,T,1,9,1
0,3,F,T,T,F,F,0,2,0
0,0,F,T,F,F,T,0,3,0
0,3,F,F,T,F,F,0,5,1
0,0,F,F,F,F,F,0,1,0
1,2,F,T,T,T,T,2,10,1
2,1,F,T,F,T,T,4,10,1
0,2,F,F,T,F,F,0,5,0
0,2,F,T,T,T,T,2,8,1
0,0,F,F,F,F,F,0,1,0
1,2,F,T,F,T,T,3,11,1
0,1,F,F,T,F,F,0,3,0
0,3,F,F,F,F,T,0,5,0
2,2,F,T,T,T,F,3,9,1
0,0,F,T,F,T,T,1,5,0
0,2,F,F,T,F,F,2,10,1
0,0,F,T,F,F,F,0,0,0
0,1,F,F,T,T,T,1,6,1
0,1,F,T,F,F,F,0,4,1
0,1,F,F,T,F,T,0,1,0
0,2,F,T,T,T,T,1,7,1
0,0,F,F,F,F,F,0,1,0
0,2,F,T,T,F,F,0,0,0
1,1,F,F,F,T,T,2,9,1
1,2,F,F,T,T,T,2,10,1
0,0,F,T,F,F,F,0,1,0
1,3,F,T,T,T,T,1,8,1
0,0,F,F,F,F,F,0,1,0
0,1,F,T,T,F,T,0,4,1
0,0,F,F,F,F,F,0,1,0
0,0,F,F,F,F,F,0,0,0
0,2,F,T,T,T,T,1,6,1
0,0,F,T,F,F,T,0,4,0
1,3,F,F,T,T,F,1,8,1
0,0,F,F,F,F,F,0,1,0
0,3,F,T,T,F,T,0,5,1
0,2,F,F,F,F,F,0,4,0
1,2,F,T,T,T,T,2,10,1
0,0,F,F,F,F,F,0,1,0
1,1,F,T,T,F,T,0,4,1
0,2,F,F,T,F,F,0,4,1
0,0,F,T,F,F,T,0,2,0
0,0,F,F,F,F,F,0,1,0
0,2,F,T,T,F,T,0,6,1
0,3,F,T,T,T,T,2,9,1
1,1,F,F,F,F,F,2,7,0
